name,ip_strain,op_strain,energy
Ba7Nb4MoO20_p1,0.98,0.98,-267.17156356
Ba7Nb4MoO20_p1,0.98,0.99,-267.16407667
Ba7Nb4MoO20_p1,0.98,1.0,-267.11113708
Ba7Nb4MoO20_p1,0.98,1.01,-267.01569222
Ba7Nb4MoO20_p1,0.98,1.02,-266.88255781
Ba7Nb4MoO20_p1,0.98,0.98,-267.173835
Ba7Nb4MoO20_p1,0.99,0.98,-267.11591633
Ba7Nb4MoO20_p1,0.99,0.99,-267.07449377
Ba7Nb4MoO20_p1,0.99,1.0,-266.98987092
Ba7Nb4MoO20_p1,0.99,1.01,-266.86780874
Ba7Nb4MoO20_p1,0.99,1.02,-266.71489955
Ba7Nb4MoO20_p1,0.99,0.97,-267.126556
Ba7Nb4MoO20_p1,1.0,0.98,-266.92883104
Ba7Nb4MoO20_p1,1.0,0.99,-266.85637201
Ba7Nb4MoO20_p1,1.0,1.0,-266.74601364
Ba7Nb4MoO20_p1,1.0,1.01,-266.60200811
Ba7Nb4MoO20_p1,1.0,1.02,-266.4258299
Ba7Nb4MoO20_p1,1.0,0.96,-266.976868
Ba7Nb4MoO20_p1,1.01,0.98,-266.62210731
Ba7Nb4MoO20_p1,1.01,0.99,-266.52650261
Ba7Nb4MoO20_p1,1.01,1.0,-266.39275912
Ba7Nb4MoO20_p1,1.01,1.01,-266.22626413
Ba7Nb4MoO20_p1,1.01,1.02,-266.03094053
Ba7Nb4MoO20_p1,1.01,0.96,-266.724212
Ba7Nb4MoO20_p1,1.02,0.98,-266.21276858
Ba7Nb4MoO20_p1,1.02,0.99,-266.09375226
Ba7Nb4MoO20_p1,1.02,1.0,-265.93702707
Ba7Nb4MoO20_p1,1.02,1.01,-265.75479263
Ba7Nb4MoO20_p1,1.02,1.02,-265.5440285
Ba7Nb4MoO20_p1,1.02,0.94,-266.408970
Ba7Nb4MoO20_p2,0.98,0.98,-266.69770968
Ba7Nb4MoO20_p2,0.98,0.99,-266.66954125
Ba7Nb4MoO20_p2,0.98,1.0,-266.59021448
Ba7Nb4MoO20_p2,0.98,1.01,-266.46299667
Ba7Nb4MoO20_p2,0.98,1.02,-266.29449803
Ba7Nb4MoO20_p2,0.98,0.98,-266.699237
Ba7Nb4MoO20_p2,0.99,0.98,-266.5842226
Ba7Nb4MoO20_p2,0.99,0.99,-266.51811551
Ba7Nb4MoO20_p2,0.99,1.0,-266.40201679
Ba7Nb4MoO20_p2,0.99,1.01,-266.24204824
Ba7Nb4MoO20_p2,0.99,1.02,-266.04375624
Ba7Nb4MoO20_p2,0.99,0.97,-266.611159
Ba7Nb4MoO20_p2,1.0,0.98,-266.3407827
Ba7Nb4MoO20_p2,1.0,0.99,-266.23772254
Ba7Nb4MoO20_p2,1.0,1.0,-266.08987406
Ba7Nb4MoO20_p2,1.0,1.01,-265.90048044
Ba7Nb4MoO20_p2,1.0,1.02,-265.6768924
Ba7Nb4MoO20_p2,1.0,0.96,-266.432870
Ba7Nb4MoO20_p2,1.01,0.98,-265.97619139
Ba7Nb4MoO20_p2,1.01,0.99,-265.84251396
Ba7Nb4MoO20_p2,1.01,1.0,-265.66505532
Ba7Nb4MoO20_p2,1.01,1.01,-265.45156571
Ba7Nb4MoO20_p2,1.01,1.02,-265.20661153
Ba7Nb4MoO20_p2,1.01,0.95,-266.169558
Ba7Nb4MoO20_p2,1.02,0.98,-265.50412359
Ba7Nb4MoO20_p2,1.02,0.99,-265.34230605
Ba7Nb4MoO20_p2,1.02,1.0,-265.14077775
Ba7Nb4MoO20_p2,1.02,1.01,-264.90586798
Ba7Nb4MoO20_p2,1.02,1.02,-264.64627947
Ba7Nb4MoO20_p2,1.02,0.93,-265.848705
Ba7Nb4MoO20_p3,0.98,0.98,-266.26466802
Ba7Nb4MoO20_p3,0.98,0.99,-266.25498145
Ba7Nb4MoO20_p3,0.98,1.0,-266.192531
Ba7Nb4MoO20_p3,0.98,1.01,-266.08139109
Ba7Nb4MoO20_p3,0.98,1.02,-265.92804471
Ba7Nb4MoO20_p3,0.98,0.98,-266.267024
Ba7Nb4MoO20_p3,0.99,0.98,-266.18136705
Ba7Nb4MoO20_p3,0.99,0.99,-266.13106607
Ba7Nb4MoO20_p3,0.99,1.0,-266.03065412
Ba7Nb4MoO20_p3,0.99,1.01,-265.88566495
Ba7Nb4MoO20_p3,0.99,1.02,-265.6998034
Ba7Nb4MoO20_p3,0.99,0.97,-266.192734
Ba7Nb4MoO20_p3,1.0,0.98,-265.96817337
Ba7Nb4MoO20_p3,1.0,0.99,-265.88119839
Ba7Nb4MoO20_p3,1.0,1.0,-265.74789225
Ba7Nb4MoO20_p3,1.0,1.01,-265.57081385
Ba7Nb4MoO20_p3,1.0,1.02,-265.35550229
Ba7Nb4MoO20_p3,1.0,0.96,-266.022382
Ba7Nb4MoO20_p3,1.01,0.98,-265.6367529
Ba7Nb4MoO20_p3,1.01,0.99,-265.51784735
Ba7Nb4MoO20_p3,1.01,1.0,-265.35309858
Ba7Nb4MoO20_p3,1.01,1.01,-265.14807588
Ba7Nb4MoO20_p3,1.01,1.02,-264.90685255
Ba7Nb4MoO20_p3,1.01,0.96,-265.764434
Ba7Nb4MoO20_p3,1.02,0.98,-265.19971207
Ba7Nb4MoO20_p3,1.02,0.99,-265.04999003
Ba7Nb4MoO20_p3,1.02,1.0,-264.85786947
Ba7Nb4MoO20_p3,1.02,1.01,-264.62839517
Ba7Nb4MoO20_p3,1.02,1.02,-264.36552376
Ba7Nb4MoO20_p3,1.02,0.94,-265.437814
